Sr.N.,Hospital /Labs/ Clinics,Address ,Category ,NABH/NON-NABH,Applicable Rate,CGHS Status,NON-CGHS DISCOUNT
13,Wisdom Dental Maxllofacial & Implant clinic,"F-46-47, Manish Global Mall, Opp. Mount Carmel School, Sec-22, Dwarka, New Delhi-110077",Dental,NON-NABH,CGHS rates for CGHS listed items & 20 % discount on non CGHS listed items,CGHS,20
14,Sharma Dental ,"RZ-156/A, Dada Chhatriwala Marg, Gali no. 9, Raj Nagar-1 Palam Colony, New Delhi",Dental,NON-NABH,CGHS rates for CGHS listed items & 20 % discount on non CGHS listed items,CGHS,20
15,"Dentinova Dental Care Centre, Janakpuri","A-3/6 JANAK PURI MOTA SINGH MARG, DELHI-85",Dental,NABH,CGHS-Rates for CGHS Listed items and 20% Discount on Hospital Rates for Non-CGHS Items,CGHS,20
16,MAXX DENTAL & HEALTH CLINIC Rohini,"BASEMENT PLOT NO-02 PKT.8/A NEAR MANAV CHOWK SEC-15 ROHINI, DELHI-89",Dental,NON-NABH,CGHS Rates for CGHS Items and 5% Discount on Hospital Rates for Non-CGHS items,CGHS,5
17,"Kapil Dental Clinic, Rohini","A-1/681, Sec-6 Rohini Delhi-85",Dental,NABH,CGHS Rates for CGHS listed Items and 20% Discount on Hospital Rates for Non-CGHS items.,CGHS,20
18,"Dental World   Orthodontic and Implant Centre, Palam Colony Delhi","WZ-172, Stree No-1 Sadh Nagar, Palam Colony Delhi-110045",Dental,NON-NABH,CGHS Rates for CGHS Listed Items and 20% Discount on Hospital rates for Non-CGHS Items,CGHS,20
19,"Balaji Dental Centre, Paschim Vihar","B-2/11, First Floor, Paschim Vihar, New Delhi-110063",Dental,NABH,Hospital Rates,NON-CGHS,
20,Dr.Gupta's Dental & Braces Clinic,"C-7/97, Sec-8, Rohini, Delhi-110085",Dental,NON-NABH,CGHS rates for CGHS listed items & 25 % discount on non CGHS listed items,CGHS,25
21,Rx Multispecialty Dental Clinic ,"2649 (Basement) Hudson Lane, GTB Nagar, Delhi 110009",Dental,NON-NABH,CGHS rates for CGHS listed items & 20 % discount on non CGHS listed items,CGHS,20
22,Agrasen Dental Wellness Center Tri Nagar,"553/37, Onkar Nagar-C, Tri-Nagar Delhi-110035",Dental,NON-NABH,CGHS rates for CGHS listed Items and 20% Discount on Hospital Rates for Non-CGHS Items.,CGHS,20
